gender,region,highest_education,num_of_prev_attempts,studied_credits,disability,Class Label
0,0,1,0,240,0,Pass
1,1,1,0,60,0,Pass
1,2,0,0,60,1,Withdrawn
1,3,0,0,60,0,Pass
1,4,2,0,60,0,Pass
0,5,0,0,60,0,Pass
0,1,1,0,60,0,Pass
1,2,0,0,120,0,Pass
1,0,0,0,90,0,Pass
0,6,4,0,60,0,Pass
0,7,2,0,60,0,Pass
1,0,0,0,60,0,Pass
0,0,2,0,60,0,Pass
1,2,1,0,60,0,Pass
0,1,2,0,60,0,Pass
1,0,0,0,60,0,Withdrawn
1,4,0,0,60,0,Pass
0,8,1,0,60,0,Pass
0,0,0,0,150,0,Fail
0,9,0,0,60,0,Pass
0,10,0,0,60,0,Pass
0,2,1,0,60,0,Pass
0,7,2,0,60,0,Withdrawn
0,5,2,0,60,0,Pass
0,11,0,0,60,0,Pass
0,7,2,0,60,0,Pass
0,2,0,0,60,0,Pass
0,12,1,0,60,0,Pass
0,8,4,0,60,0,Pass
0,7,1,0,60,0,Withdrawn
0,10,2,0,60,0,Pass
0,0,1,0,60,0,Pass
1,0,1,0,60,0,Pass
0,11,2,0,60,0,Pass
1,6,4,0,60,0,Pass
0,11,1,0,60,0,Pass
0,5,1,0,60,0,Pass
0,0,0,0,60,0,Pass
0,10,1,0,120,0,Pass
0,7,0,0,60,0,Pass
1,10,0,0,180,0,Pass
0,4,0,0,60,0,Withdrawn
1,0,2,0,120,0,Pass
1,3,0,0,60,0,Distinction
1,0,2,0,180,0,Withdrawn
1,3,2,0,60,1,Withdrawn
0,9,0,0,60,0,Pass
1,10,0,0,240,0,Pass
0,9,0,0,345,0,Withdrawn
1,6,0,0,60,0,Pass
1,7,1,0,60,0,Pass
0,9,1,0,120,0,Pass
1,4,0,0,60,1,Fail
0,6,2,0,120,0,Fail
1,6,2,0,90,0,Withdrawn
1,2,0,0,60,1,Withdrawn
1,12,0,0,150,0,Pass
0,12,0,0,420,0,Pass
1,10,0,0,60,0,Pass
1,0,2,0,60,0,Withdrawn
1,9,0,0,60,0,Pass
0,10,0,0,60,0,Withdrawn
0,1,0,0,60,0,Pass
1,11,0,0,60,0,Pass
1,4,2,0,60,0,Pass
0,8,1,0,60,0,Pass
1,8,0,0,60,0,Pass
0,0,1,0,60,0,Pass
0,6,1,0,60,0,Pass
0,2,1,0,60,0,Pass
1,2,0,0,180,0,Fail
0,9,0,0,120,0,Pass
1,9,0,0,120,0,Withdrawn
1,9,0,0,60,0,Pass
0,12,0,0,180,0,Pass
0,9,1,0,170,0,Pass
